"","","","","","","X.Intercept."
"188","11","30","hn+cov1","0.7","b0","-0.742859023041648"
"189","11","30","hn+cov1","0.7","cov1","-0.227172885418594"
"190","11","30","hn+cov1","0.7","cov2",NA
"191","11","30","hn+cov1","0.7","aic","-5.75739612663929"
"192","11","30","hn+cov1","0.7","varp","0.0962009270734118"
"193","11","30","hn+cov1+cov2","0.7","p","0.547774954915487"
"194","11","30","hn+cov1+cov2","0.7","b0","1.69048454920004"
"195","11","30","hn+cov1+cov2","0.7","cov1","1.81023683945612"
"196","11","30","hn+cov1+cov2","0.7","cov2","-4.53864878088008"
"197","11","30","hn+cov1+cov2","0.7","aic","-6.50245840150652"
"198","11","30","hn+cov1+cov2","0.7","varp","0.115223826597978"
"199","12","30","hn","0.7","p","0.655039927137306"
"200","12","30","hn","0.7","b0","-0.568095076623793"
"201","12","30","hn","0.7","cov1",NA
"202","12","30","hn","0.7","cov2",NA
"203","12","30","hn","0.7","aic","-3.03215616185824"
"204","12","30","hn","0.7","varp","0.0980451714051501"
"205","12","30","hn+cov1","0.7","p","0.65340138602502"
"206","12","30","hn+cov1","0.7","b0","-0.550547839598406"
"207","12","30","hn+cov1","0.7","cov1","-0.110746020028622"
"208","12","30","hn+cov1","0.7","cov2",NA
"209","12","30","hn+cov1","0.7","aic","-1.16515259074528"
"210","12","30","hn+cov1","0.7","varp","0.101738400624172"
"211","12","30","hn+cov1+cov2","0.7","p","0.650600553256039"
"212","12","30","hn+cov1+cov2","0.7","b0","-0.4746381007056"
"213","12","30","hn+cov1+cov2","0.7","cov1","0.165464200223153"
"214","12","30","hn+cov1+cov2","0.7","cov2","-0.304086216372716"
"215","12","30","hn+cov1+cov2","0.7","aic","0.716857524116462"
"216","12","30","hn+cov1+cov2","0.7","varp","0.111962499178878"
"217","13","30","hn","0.7","p","0.582780668675468"
"218","13","30","hn","0.7","b0","-0.726264738928286"
"219","13","30","hn","0.7","cov1",NA
"220","13","30","hn","0.7","cov2",NA
"221","13","30","hn","0.7","aic","-6.47165790180059"
"222","13","30","hn","0.7","varp","0.087427259157865"
"223","13","30","hn+cov1","0.7","p","0.582801182931611"
"224","13","30","hn+cov1","0.7","b0","-0.721002523738657"
