"","","","","","","X.Intercept."
"191","11","30","hn+cov1","0.7","aic","-22.7311052429535"
"192","11","30","hn+cov1","0.7","varp","0.0509200181692684"
"193","11","30","hn+cov1+cov2","0.7","p","0.391191698620472"
"194","11","30","hn+cov1+cov2","0.7","b0","0.334564757184764"
"195","11","30","hn+cov1+cov2","0.7","cov1","1.6293548600696"
"196","11","30","hn+cov1+cov2","0.7","cov2","0.0725482652615215"
"197","11","30","hn+cov1+cov2","0.7","aic","-20.7329260468618"
"198","11","30","hn+cov1+cov2","0.7","varp","0.052401672783107"
"199","12","30","hn","0.7","p","0.3746557666621"
"200","12","30","hn","0.7","b0","-1.20670253010278"
"201","12","30","hn","0.7","cov1",NA
"202","12","30","hn","0.7","cov2",NA
"203","12","30","hn","0.7","aic","-27.2048011218409"
"204","12","30","hn","0.7","varp","0.0373842952606828"
"205","12","30","hn+cov1","0.7","p","0.357118920109248"
"206","12","30","hn+cov1","0.7","b0","0.710119928873835"
"207","12","30","hn+cov1","0.7","cov1","2.26513727374231"
"208","12","30","hn+cov1","0.7","cov2",NA
"209","12","30","hn+cov1","0.7","aic","-27.2074445665181"
"210","12","30","hn+cov1","0.7","varp","0.0707989457354095"
"211","12","30","hn+cov1+cov2","0.7","p","0.341226549495084"
"212","12","30","hn+cov1+cov2","0.7","b0","0.910755607664939"
"213","12","30","hn+cov1+cov2","0.7","cov1","0.682767806520849"
"214","12","30","hn+cov1+cov2","0.7","cov2","2.84190082398507"
"215","12","30","hn+cov1+cov2","0.7","aic","-26.2674612284743"
"216","12","30","hn+cov1+cov2","0.7","varp","0.0812227011622825"
"217","13","30","hn","0.7","p","0.463246407568238"
"218","13","30","hn","0.7","b0","-0.988036594445164"
"219","13","30","hn","0.7","cov1",NA
"220","13","30","hn","0.7","cov2",NA
"221","13","30","hn","0.7","aic","-15.9270865083055"
"222","13","30","hn","0.7","varp","0.0654089173966362"
"223","13","30","hn+cov1","0.7","p","0.439489584687983"
"224","13","30","hn+cov1","0.7","b0","-3.27171753512835"
"225","13","30","hn+cov1","0.7","cov1","-2.42748416135063"
"226","13","30","hn+cov1","0.7","cov2",NA
"227","13","30","hn+cov1","0.7","aic","-15.5300292519206"
"228","13","30","hn+cov1","0.7","varp","0.094230946847017"
"229","13","30","hn+cov1+cov2","0.7","p","0.441046916047118"
"230","13","30","hn+cov1+cov2","0.7","b0","-2.84191958912425"
"231","13","30","hn+cov1+cov2","0.7","cov1","-2.63055078137658"
"232","13","30","hn+cov1+cov2","0.7","cov2","1.02271098401604"
"233","13","30","hn+cov1+cov2","0.7","aic","-13.7262537206327"
"234","13","30","hn+cov1+cov2","0.7","varp","0.07916598226635"
"235","14","30","hn","0.7","p","0.27225359979138"
"236","14","30","hn","0.7","b0","-1.52680744473851"
"237","14","30","hn","0.7","cov1",NA
"238","14","30","hn","0.7","cov2",NA
"239","14","30","hn","0.7","aic","-46.0639716597358"
"240","14","30","hn","0.7","varp","0.0428760819741319"
"241","14","30","hn+cov1","0.7","p","0.246672508407259"
"242","14","30","hn+cov1","0.7","b0","-0.327192540969306"
"243","14","30","hn+cov1","0.7","cov1","1.49753737406036"
"244","14","30","hn+cov1","0.7","cov2",NA
"245","14","30","hn+cov1","0.7","aic","-48.2348049178077"
"246","14","30","hn+cov1","0.7","varp","0.047510076276811"
"247","14","30","hn+cov1+cov2","0.7","p","0.246281558258636"
"248","14","30","hn+cov1+cov2","0.7","b0","-0.255577487966162"
"249","14","30","hn+cov1+cov2","0.7","cov1","1.40821884336718"
"250","14","30","hn+cov1+cov2","0.7","cov2","0.268262069751081"
"251","14","30","hn+cov1+cov2","0.7","aic","-46.2499041535133"
"252","14","30","hn+cov1+cov2","0.7","varp","0.0488337348830968"
"253","15","30","hn","0.7","p","0.365327449681678"
"254","15","30","hn","0.7","b0","-1.23213980961324"
