"","","","","","","X.Intercept."
"315","2","120","hn+cov1","0.9","cov1","0.0317315003501481"
"316","2","120","hn+cov1","0.9","cov2",NA
"317","2","120","hn+cov1","0.9","aic","-35.3164125882406"
"318","2","120","hn+cov1","0.9","varp","0.0396865459242772"
"319","2","120","hn+cov1+cov2","0.9","p","0.560018493457293"
"320","2","120","hn+cov1+cov2","0.9","b0","-0.706844181765158"
"321","2","120","hn+cov1+cov2","0.9","cov1","0.323227694450211"
"322","2","120","hn+cov1+cov2","0.9","cov2","-0.312999445625888"
"323","2","120","hn+cov1+cov2","0.9","aic","-33.6207244501983"
"324","2","120","hn+cov1+cov2","0.9","varp","0.0396218489746461"
"325","1","240","hn","0.7","p","0.615324376998672"
"326","1","240","hn","0.7","b0","-0.655877001463735"
"327","1","240","hn","0.7","cov1",NA
"328","1","240","hn","0.7","cov2",NA
"329","1","240","hn","0.7","aic","-52.0280215785646"
"330","1","240","hn","0.7","varp","0.03285019376742"
"331","1","240","hn+cov1","0.7","p","0.612541700899406"
"332","1","240","hn+cov1","0.7","b0","-0.649845953522133"
"333","1","240","hn+cov1","0.7","cov1","-0.140371048352075"
"334","1","240","hn+cov1","0.7","cov2",NA
"335","1","240","hn+cov1","0.7","aic","-52.0396935172313"
"336","1","240","hn+cov1","0.7","varp","0.0328619674574414"
"337","1","240","hn+cov1+cov2","0.7","p","0.61291944924131"
"338","1","240","hn+cov1+cov2","0.7","b0","-0.796624112886685"
"339","1","240","hn+cov1+cov2","0.7","cov1","-0.442948254730396"
"340","1","240","hn+cov1+cov2","0.7","cov2","0.412777613492586"
"341","1","240","hn+cov1+cov2","0.7","aic","-50.7612381561842"
"342","1","240","hn+cov1+cov2","0.7","varp","0.0329798588500687"
"343","2","240","hn","0.7","p","0.637393753137186"
"344","2","240","hn","0.7","b0","-0.607455770598303"
"345","2","240","hn","0.7","cov1",NA
"346","2","240","hn","0.7","cov2",NA
"347","2","240","hn","0.7","aic","-44.0012221131747"
"348","2","240","hn","0.7","varp","0.0327339684059302"
"349","2","240","hn+cov1","0.7","p","0.636022917042026"
"350","2","240","hn+cov1","0.7","b0","-0.601509386889662"
"351","2","240","hn+cov1","0.7","cov1","-0.118087136639688"
