"","","","","","","X.Intercept."
"158","9","30","hn+cov1+cov2","0.7","b0","-0.657148354587395"
"159","9","30","hn+cov1+cov2","0.7","cov1","2.9518140148863"
"160","9","30","hn+cov1+cov2","0.7","cov2","-0.505668042816142"
"161","9","30","hn+cov1+cov2","0.7","aic","3.02736244161239"
"162","9","30","hn+cov1+cov2","0.7","varp","0.187533178490721"
"163","10","30","hn","0.7","p","0.831695548361314"
"164","10","30","hn","0.7","b0","-0.0901065092045492"
"165","10","30","hn","0.7","cov1",NA
"166","10","30","hn","0.7","cov2",NA
"167","10","30","hn","0.7","aic","1.12199485323013"
"168","10","30","hn","0.7","varp","0.180618337619078"
"169","10","30","hn+cov1","0.7","p","0.829394855003564"
"170","10","30","hn+cov1","0.7","b0","-0.332357241156769"
"171","10","30","hn+cov1","0.7","cov1","0.558237920693735"
"172","10","30","hn+cov1","0.7","cov2",NA
"173","10","30","hn+cov1","0.7","aic","2.98512086521238"
"174","10","30","hn+cov1","0.7","varp","0.188894709626811"
"175","10","30","hn+cov1+cov2","0.7","p","0.789209685926007"
"176","10","30","hn+cov1+cov2","0.7","b0","1.80424425484938"
"177","10","30","hn+cov1+cov2","0.7","cov1","0.739775925056642"
"178","10","30","hn+cov1+cov2","0.7","cov2","-2.66234605986681"
"179","10","30","hn+cov1+cov2","0.7","aic","3.24818071661382"
"180","10","30","hn+cov1+cov2","0.7","varp","0.174010295816605"
"181","11","30","hn","0.7","p","0.971320543194624"
"182","11","30","hn","0.7","b0","0.866934950012279"
"183","11","30","hn","0.7","cov1",NA
"184","11","30","hn","0.7","cov2",NA
"185","11","30","hn","0.7","aic","1.97944450754359"
"186","11","30","hn","0.7","varp","0.217760506058003"
"187","11","30","hn+cov1","0.7","p","0.908716418350747"
"188","11","30","hn+cov1","0.7","b0","-0.940893866827172"
"189","11","30","hn+cov1","0.7","cov1","11.5398180002613"
"190","11","30","hn+cov1","0.7","cov2",NA
"191","11","30","hn+cov1","0.7","aic","2.86556259079424"
"192","11","30","hn+cov1","0.7","varp","0.32988756694614"
"193","11","30","hn+cov1+cov2","0.7","p","0.743598397981442"
"194","11","30","hn+cov1+cov2","0.7","b0","0.0777149214063536"
"195","11","30","hn+cov1+cov2","0.7","cov1","-4.3565993355228"
"196","11","30","hn+cov1+cov2","0.7","cov2","14.8185661723252"
"197","11","30","hn+cov1+cov2","0.7","aic","2.04502678791359"
"198","11","30","hn+cov1+cov2","0.7","varp","3.40010986920756"
"199","12","30","hn","0.7","p","0.878576648864506"
"200","12","30","hn","0.7","b0","-0.223361985997262"
"201","12","30","hn","0.7","cov1",NA
"202","12","30","hn","0.7","cov2",NA
"203","12","30","hn","0.7","aic","0.692196008493658"
"204","12","30","hn","0.7","varp","0.16734032359243"
"205","12","30","hn+cov1","0.7","p","0.878643280994646"
"206","12","30","hn+cov1","0.7","b0","-0.193474008487393"
"207","12","30","hn+cov1","0.7","cov1","-0.0594044751009706"
"208","12","30","hn+cov1","0.7","cov2",NA
"209","12","30","hn+cov1","0.7","aic","2.68952855098853"
"210","12","30","hn+cov1","0.7","varp","0.169659372431065"
"211","12","30","hn+cov1+cov2","0.7","p","0.875453296995188"
"212","12","30","hn+cov1+cov2","0.7","b0","0.22598522965984"
"213","12","30","hn+cov1+cov2","0.7","cov1","-0.21592219944613"
"214","12","30","hn+cov1+cov2","0.7","cov2","-0.426782374053926"
"215","12","30","hn+cov1+cov2","0.7","aic","4.48436219025266"
"216","12","30","hn+cov1+cov2","0.7","varp","0.166246134731853"
"217","13","30","hn","0.7","p","0.663096953783234"
"218","13","30","hn","0.7","b0","-0.549883183456112"
"219","13","30","hn","0.7","cov1",NA
"220","13","30","hn","0.7","cov2",NA
"221","13","30","hn","0.7","aic","-2.72749207657974"
"222","13","30","hn","0.7","varp","0.126458560844436"
"223","13","30","hn+cov1","0.7","p","0.661217509622266"
"224","13","30","hn+cov1","0.7","b0","-0.763655803748832"
"225","13","30","hn+cov1","0.7","cov1","0.345203073268712"
"226","13","30","hn+cov1","0.7","cov2",NA
"227","13","30","hn+cov1","0.7","aic","-0.990775545705661"
"228","13","30","hn+cov1","0.7","varp","0.129861025764655"
"229","13","30","hn+cov1+cov2","0.7","p","0.659801837253598"
"230","13","30","hn+cov1+cov2","0.7","b0","-0.914676831768924"
"231","13","30","hn+cov1+cov2","0.7","cov1","-0.36296466108442"
"232","13","30","hn+cov1+cov2","0.7","cov2","0.793513519889692"
"233","13","30","hn+cov1+cov2","0.7","aic","0.851347918759301"
"234","13","30","hn+cov1+cov2","0.7","varp","0.146654317501506"
"235","14","30","hn","0.7","p","0.884156824821773"
"236","14","30","hn","0.7","b0","-0.112731313080995"
"237","14","30","hn","0.7","cov1",NA
"238","14","30","hn","0.7","cov2",NA
"239","14","30","hn","0.7","aic","1.10679193913491"
"240","14","30","hn","0.7","varp","0.131620491173342"
"241","14","30","hn+cov1","0.7","p","0.873781275611323"
"242","14","30","hn+cov1","0.7","b0","0.429370416321425"
"243","14","30","hn+cov1","0.7","cov1","-0.952194435479509"
"244","14","30","hn+cov1","0.7","cov2",NA
"245","14","30","hn+cov1","0.7","aic","2.69066080328736"
"246","14","30","hn+cov1","0.7","varp","0.128107068182796"
"247","14","30","hn+cov1+cov2","0.7","p","0.506336738465945"
"248","14","30","hn+cov1+cov2","0.7","b0","-5.25427431541778"
"249","14","30","hn+cov1+cov2","0.7","cov1","15.2983334287273"
"250","14","30","hn+cov1+cov2","0.7","cov2","11.7791393450876"
"251","14","30","hn+cov1+cov2","0.7","aic","-1.75450321848928"
"252","14","30","hn+cov1+cov2","0.7","varp","10.0113390829463"
"253","15","30","hn","0.7","p","1.16851314425199"
"254","15","30","hn","0.7","b0","0.184871338804246"
"255","15","30","hn","0.7","cov1",NA
"256","15","30","hn","0.7","cov2",NA
"257","15","30","hn","0.7","aic","1.76721195559686"
"258","15","30","hn","0.7","varp","0.213429090080414"
"259","15","30","hn+cov1","0.7","p","1.12253529391517"
"260","15","30","hn+cov1","0.7","b0","4.39688782226638"
"261","15","30","hn+cov1","0.7","cov1","-5.43765979820215"
"262","15","30","hn+cov1","0.7","cov2",NA
"263","15","30","hn+cov1","0.7","aic","2.35268475069122"
"264","15","30","hn+cov1","0.7","varp","0.197949501707122"
"265","15","30","hn+cov1+cov2","0.7","p","0.924777558786001"
"266","15","30","hn+cov1+cov2","0.7","b0","3.06210397614253"
"267","15","30","hn+cov1+cov2","0.7","cov1","-0.216113614201081"
"268","15","30","hn+cov1+cov2","0.7","cov2","-3.92825539423049"
"269","15","30","hn+cov1+cov2","0.7","aic","1.843515052518"
"270","15","30","hn+cov1+cov2","0.7","varp","0.545177068862944"
"271","16","30","hn","0.7","p","0.769601749440277"
"272","16","30","hn","0.7","b0","-0.284628029626377"
"273","16","30","hn","0.7","cov1",NA
"274","16","30","hn","0.7","cov2",NA
"275","16","30","hn","0.7","aic","0.174359691168949"
"276","16","30","hn","0.7","varp","0.164894832969191"
"277","16","30","hn+cov1","0.7","p","0.769539702088073"
"278","16","30","hn+cov1","0.7","b0","-0.305248388211892"
"279","16","30","hn+cov1","0.7","cov1","0.0507292649994961"
"280","16","30","hn+cov1","0.7","cov2",NA
"281","16","30","hn+cov1","0.7","aic","2.17338422976004"
"282","16","30","hn+cov1","0.7","varp","0.169935146404917"
"283","16","30","hn+cov1+cov2","0.7","p",NA
"284","16","30","hn+cov1+cov2","0.7","b0",NA
"285","16","30","hn+cov1+cov2","0.7","cov1",NA
"286","16","30","hn+cov1+cov2","0.7","cov2",NA
"287","16","30","hn+cov1+cov2","0.7","aic",NA
"288","16","30","hn+cov1+cov2","0.7","varp",NA
"289","17","30","hn","0.7","p","0.76588219194951"
"290","17","30","hn","0.7","b0","-0.295010845862966"
"291","17","30","hn","0.7","cov1",NA
"292","17","30","hn","0.7","cov2",NA
"293","17","30","hn","0.7","aic","0.102842528525835"
"294","17","30","hn","0.7","varp","0.14072382103314"
"295","17","30","hn+cov1","0.7","p","0.756592128166435"
"296","17","30","hn+cov1","0.7","b0","1.07065226441546"
"297","17","30","hn+cov1","0.7","cov1","-1.89458703266874"
"298","17","30","hn+cov1","0.7","cov2",NA
"299","17","30","hn+cov1","0.7","aic","0.82606575327661"
"300","17","30","hn+cov1","0.7","varp","0.136350988784186"
"301","17","30","hn+cov1+cov2","0.7","p","0.749004811633678"
"302","17","30","hn+cov1+cov2","0.7","b0","0.704498713577672"
"303","17","30","hn+cov1+cov2","0.7","cov1","-1.68339735595278"
"304","17","30","hn+cov1+cov2","0.7","cov2","0.169441519657546"
"305","17","30","hn+cov1+cov2","0.7","aic","2.82045576336698"
"306","17","30","hn+cov1+cov2","0.7","varp","0.136758190100711"
"307","18","30","hn","0.7","p","0.700555548912495"
"308","18","30","hn","0.7","b0","-0.462628425661661"
"309","18","30","hn","0.7","cov1",NA
"310","18","30","hn","0.7","cov2",NA
"311","18","30","hn","0.7","aic","-1.48455654936994"
"312","18","30","hn","0.7","varp","0.113007724880812"
"313","18","30","hn+cov1","0.7","p","0.696457523140552"
"314","18","30","hn+cov1","0.7","b0","-0.245947511103301"
"315","18","30","hn+cov1","0.7","cov1","-0.375231506400411"
"316","18","30","hn+cov1","0.7","cov2",NA
"317","18","30","hn+cov1","0.7","aic","0.242446944638854"
"318","18","30","hn+cov1","0.7","varp","0.113935132822174"
"319","18","30","hn+cov1+cov2","0.7","p","0.69365835193621"
"320","18","30","hn+cov1+cov2","0.7","b0","1.19161452804885"
"321","18","30","hn+cov1+cov2","0.7","cov1","0.923767270515669"
"322","18","30","hn+cov1+cov2","0.7","cov2","-2.33260747841494"
"323","18","30","hn+cov1+cov2","0.7","aic","0.423112303999833"
"324","18","30","hn+cov1+cov2","0.7","varp","0.168193131026204"
"325","19","30","hn","0.7","p","0.672619630520475"
"326","19","30","hn","0.7","b0","-0.528132558957847"
"327","19","30","hn","0.7","cov1",NA
"328","19","30","hn","0.7","cov2",NA
"329","19","30","hn","0.7","aic","-2.38516471254506"
"330","19","30","hn","0.7","varp","0.0969818252836832"
"331","19","30","hn+cov1","0.7","p","0.61544406394418"
"332","19","30","hn+cov1","0.7","b0","-1.8334761045874"
"333","19","30","hn+cov1","0.7","cov1","6.88264132837457"
"334","19","30","hn+cov1","0.7","cov2",NA
"335","19","30","hn+cov1","0.7","aic","-6.21299761415311"
"336","19","30","hn+cov1","0.7","varp","0.155752339630501"
"337","19","30","hn+cov1+cov2","0.7","p","0.575444644235061"
