"","","","","","","X.Intercept."
"160","9","30","hn+cov1+cov2","999","cov2","-0.404149498595427"
"161","9","30","hn+cov1+cov2","999","aic","-60.3281395703228"
"162","9","30","hn+cov1+cov2","999","varp","0.0359844832483033"
"163","10","30","hn","999","p","0.369428791771847"
"164","10","30","hn","999","b0","-1.2208839748147"
"165","10","30","hn","999","cov1",NA
"166","10","30","hn","999","cov2",NA
"167","10","30","hn","999","aic","-28.0068020751048"
"168","10","30","hn","999","varp","0.0488598645529712"
"169","10","30","hn+cov1","999","p","0.356025573112092"
"170","10","30","hn+cov1","999","b0","-1.01667290327487"
"171","10","30","hn+cov1","999","cov1","-0.144674682126575"
"172","10","30","hn+cov1","999","cov2",NA
"173","10","30","hn+cov1","999","aic","-27.750591159807"
"174","10","30","hn+cov1","999","varp","0.0498878096763476"
"175","10","30","hn+cov1+cov2","999","p","0.355349097692602"
"176","10","30","hn+cov1+cov2","999","b0","-0.982514108810487"
"177","10","30","hn+cov1+cov2","999","cov1","-0.303012112215677"
"178","10","30","hn+cov1+cov2","999","cov2","0.144768233150794"
"179","10","30","hn+cov1+cov2","999","aic","-25.8165871955425"
"180","10","30","hn+cov1+cov2","999","varp","0.0498577799020126"
"181","11","30","hn","999","p","0.382513535354887"
"182","11","30","hn","999","b0","-1.18571420135782"
"183","11","30","hn","999","cov1",NA
"184","11","30","hn","999","cov2",NA
"185","11","30","hn","999","aic","-26.0292822810877"
"186","11","30","hn","999","varp","0.0520561065506207"
"187","11","30","hn+cov1","999","p","0.154490703101732"
"188","11","30","hn+cov1","999","b0","0.18139016281243"
"189","11","30","hn+cov1","999","cov1","-0.99932792340974"
"190","11","30","hn+cov1","999","cov2",NA
"191","11","30","hn+cov1","999","aic","-50.5694883293156"
"192","11","30","hn+cov1","999","varp","0.0439728109051941"
"193","11","30","hn+cov1+cov2","999","p","0.1302264133034"
"194","11","30","hn+cov1+cov2","999","b0","-0.113008877064799"
"195","11","30","hn+cov1+cov2","999","cov1","0.353359939072934"
"196","11","30","hn+cov1+cov2","999","cov2","-1.2470121699331"
"197","11","30","hn+cov1+cov2","999","aic","-53.4984391402924"
"198","11","30","hn+cov1+cov2","999","varp","0.0461361989784685"
"199","12","30","hn","999","p","0.493494004922804"
"200","12","30","hn","999","b0","-0.919846387522621"
"201","12","30","hn","999","cov1",NA
"202","12","30","hn","999","cov2",NA
"203","12","30","hn","999","aic","-12.9864228792858"
"204","12","30","hn","999","varp","0.0805191322270104"
"205","12","30","hn+cov1","999","p","0.206994075521394"
"206","12","30","hn+cov1","999","b0","0.234978043246003"
"207","12","30","hn+cov1","999","cov1","-0.996274515593627"
"208","12","30","hn+cov1","999","cov2",NA
"209","12","30","hn+cov1","999","aic","-30.2311464443182"
"210","12","30","hn+cov1","999","varp","0.0809191351727897"
"211","12","30","hn+cov1+cov2","999","p","0.0585625433631193"
"212","12","30","hn+cov1+cov2","999","b0","2.50054475386141"
"213","12","30","hn+cov1+cov2","999","cov1","1.50107342683923"
"214","12","30","hn+cov1+cov2","999","cov2","-3.71827203182866"
"215","12","30","hn+cov1+cov2","999","aic","-31.6915861220458"
"216","12","30","hn+cov1+cov2","999","varp","0.0803888897289755"
"217","13","30","hn","999","p","0.349528536195621"
"218","13","30","hn","999","b0","-1.27662339859171"
"219","13","30","hn","999","cov1",NA
"220","13","30","hn","999","cov2",NA
